collection,name,size,design,dyeing_method,construction,backing,product_type,wood_species,colour,fire_rating,usages,composition,Product
City Glaze,CG04 ROCKY,92356.69,Geometric,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Meteor,Y47085,90828.1,Stones,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Chimes,AZ52980,89603.5,Plains,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Remix,AZ52835,88410,Abstract,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Safari Sun,Y47147,86725.17,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Uncork,AZ52856,86324.6,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Color Cube,CC05 BROWN,83872.32,Solid,Solution Dyed,Twisted Cut Pile,PVC,,,,,,,Carpet
Soprano,SO02 ROCKY,83134.51,Stripes,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Carnet De Voyage Fabrics,8410125,82891,Embroidery,,,,,,,,Curtain,"100% Polyester, Viscose embroidery",Fabric
NOX Vinyl,GD-5405,82821.24,Maple,,,,Vinyl Flooring,Maple,Maple Natural,,,,Flooring
Acappella,AZ52940,81421.91,Fabric/Silks,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Shalimar,sha7001,79984.02,,,,Non-woven,Non-woven,,,ASTM E84 Class A,,,Wallcovering
Uncork,AZ52854,79525.7,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Vera,VR03 CHOCOLATE,78517.72,Organic,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Uncork,AZ52849,77479.54,Grass/Bamboos,,,Osnaburg,Vinyl,,,ASTM E84 Class A,,,Wallcovering
Leedon,LN03 STONE,76787.6,Geometric,Solution Dyed,Multi Level Loop,PVC,,,,,,,Carpet
Esta,ES03 FOG,76457.96,Geometric,Yarn Dyed,Multi Level Loop & Tip Shear,PVC Free,,,,,,,Carpet
